Filename,Predictions;
test_images\10. Pseudocurimata peruana (FMNH-97390)(Windsor Aguirre).jpg,Bryconamericus;
test_images\100.A. Agonostomus monticola (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\100.B. Agonostomus monticola (Pedro Jiménez Prado).JPG,Astroblepus;
test_images\100.C. Agonostomus monticola (Windsor Aguirre).jpg,Cordylancistrus;
test_images\101. Andinoacara blombergi (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\102.A. Andinoacara rivulatus (Windsor Aguirre).jpg,Cordylancistrus;
test_images\102.B. Andinoacara rivulatus (Macho) ( Fredy Nugra).jpg,Cordylancistrus;
test_images\103. Andinoacara sapayensis (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\104.A.Cichlasoma festae (Ronald Navarrete).JPG,Ancistrus;
test_images\104.B. Cichlasoma festae (Eduardo Rebolledo).JPG,Ancistrus;
test_images\104.C. Cichlasoma festae (Fredy Nugra).JPG,Ancistrus;
test_images\104.D. Cliclostoma festae (Fredy Nugra).png,Gymnotus;
test_images\105.A.Cichlasoma ornatum (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\105.B.Cichlasoma ornatum (juvenil) (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\106. Oreochromis aureus (Eduardo Rebolledo).jpg,Cordylancistrus;
test_images\107. Oreochromis mossambicus (Jonathan Valdiviezo).JPG,Ancistrus;
test_images\108.A. Oreochromis niloticus (Windsor Aguirre).jpg,Cordylancistrus;
test_images\108.B. Oreochromis niloticus (Pedro Jiménez Prado).JPG,Cordylancistrus;
test_images\11. Pseudocurimata troscheli (Windsor Aguirre).jpg,Saccodon;
test_images\110.A. Dormitator latifrons (Windsor Aguirre).jpg,Ancistrus;
test_images\110.B. Dormitator latifrons (Pedro Jiménez Prado).JPG,Astroblepus;
test_images\111.A. Eleotris picta (Pedro Jiménez Prado).JPG,Astroblepus;
test_images\111.B. Eleotris picta (Ronald Navarrete).jpg,Cordylancistrus;
test_images\112.A. Gobiomorus maculatus (Fredy Nugra).jpg,Astroblepus;
test_images\112.B. Gobiomorus maculatus (Juvenil) (Fredy Nugra).jpg,Cordylancistrus;
test_images\112.C. Gobiomorus maculatus (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\112.D. Gobiomorus maculatus (comiendo un juvenil) (Pedro Jiménez Prado).JPG,Astroblepus;
test_images\113. Hemieleotris latifasciatus (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\114.A. Awaous transandeanus (Pedro Jiménez Prado).JPG,Astroblepus;
test_images\114.B. Awaous transandeanus (Jonathan Valdiviezo).JPG,Gymnotus;
test_images\117. Gobioides peruanus (Enrique Laaz).jpg,Astroblepus;
test_images\119. A. Sicydium hildebrandi (Fredy Nugra).jpg,Ancistrus;
test_images\119. B. Sicydium hildebrandi (Fredy Nugra).JPG,Ancistrus;
test_images\119. C. Sicydium hildebrandi (Fredy Nugra).JPG,Ancistrus;
test_images\119. D. Sicydium hildebrandi (Eduardo Rebolledo).JPG,Ancistrus;
test_images\12. Ichthyoelephas humeralis (Windsor Aguirre).jpg,Ancistrus;
test_images\120. A. Sicydium rosebergii (Pedro Jiménez Prado) a) adulto, b) post-larva.tif,Cordylancistrus;
test_images\120. B. Sicydium rosebergii (Eduardo Rebolledo).JPG,Cordylancistrus;
test_images\13.A. Leporinus ecuadorensis. (Enrique Laaz).jpg,Astroblepus;
test_images\13.B. Leporinus ecuadoriensis (Windsor Aguirre).jpg,Cordylancistrus;
test_images\13.C. Leporinus ecuadorensis (río San Pablo.Babahoyo. jun2013)(Ronald Navarrete).JPG,Cordylancistrus;
test_images\14.A. Hoplias malabaricus (Windsor Aguirre).jpg,Ancistrus;
test_images\14.B. Hoplias malabaricos (Fredy Nugra).jpg,Gymnotus;
test_images\14.C. Hoplias malabaricus (amazonia) ( Fredy Nugra).jpg,Astroblepus;
test_images\15.A. Hoplias microlepis (Windsor Aguirre).jpg,Ancistrus;
test_images\15.B. Hoplias microlepis (Windsor Aguirre).jpg,Ancistrus;
test_images\16.A. Lebiasina astrigata (Windsor Aguirre).jpg,Ancistrus;
test_images\16.B. Lebiasina astrigata (Antonio Torres y Enrique Laaz).JPG,Astroblepus;
test_images\17.A. Lebiasina aureoguttata (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\17.B. Lebiasina aureoguttata (AntonioTorres y Enrique Laaz).jpg,Astroblepus;
test_images\18.A. Lebiasina bimaculata (Windsor Aguirre).jpg,Ancistrus;
test_images\18.B. Lebiasina bimaculta (Fredy Nugra).jpg,Ancistrus;
test_images\18.C. Lebiasina bimaculata (amazonia) (Fredy Nugra).jpg,Astroblepus;
test_images\19. Gasteropelecus maculatus (Pedro Jiménez Prado).JPG,Cordylancistrus;
test_images\2. Cyprinus carpio (FMNH-100795)(Windsor Aguirre).jpg,Ancistrus;
test_images\20.A. Astyanax festae (Windsor Aguirre).jpg,Bryconamericus;
test_images\20.B. Astyanax festae (Windsor Aguirre).jpg,Saccodon;
test_images\20.C. Astyanax festae (Fredy Nugra).jpg,Cordylancistrus;
test_images\21.A. Astyanax ruberrinus (Pedro Jiménez Prado).JPG,Cordylancistrus;
test_images\21.B. Astyanax ruberrinus (Pedro Jiménez Prado).JPG,Astroblepus;
test_images\21.C. Astyanax ruberrinus (Río Atacames.junio2012)(Pedro Jiménez Prado).JPG,Ancistrus;
test_images\22.A. Bryconamericus brevirostris (Windsor Aguirre).jpg,Saccodon;
test_images\22.B. Bryconamericus brevirostris (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\22.C. Bryconamericus brevirostris (Ronald Navarrete).JPG,Ancistrus;
test_images\23. Bryconamericus bucayensis (holotipo)(Cesar Román Valencia).JPG,Bryconamericus;
