Filename,Predictions
test_images\Ancistrus clementinae (Fredy Nugra).jpg,Astroblepus
test_images\Ancistrus clementinae (Nathan Lujan).jpg,Astroblepus
test_images\Ancistrus clementinae (Windsor Aguirre).jpg,Astroblepus
test_images\Astyanax festae (Fredy Nugra).jpg,Rhoadsia
test_images\Astyanax ruberrinus (Pedro Jiménez Prado).JPG,Apteronotus
test_images\Brycon alburnus (Antonio Torres y Enrique Laaz).JPG,Astroblepus
test_images\Brycon alburnus (Ronald Navarrete).JPG,Rineloricaria
test_images\Brycon alburnus (Windsor Aguirre).jpg,Rineloricaria
test_images\Brycon atrocaudatus (Fredy Nugra).jpg,Rhoadsia
test_images\Brycon atrocaudatus (Ronald Navarrte).JPG,Hoplias
test_images\Brycon atrocaudatus (Windsor Aguirre).jpg,Astroblepus
test_images\Brycon dentex (Captura en el río Santiago) (Euardo Rebolledo).JPG,Pseudochalceus
test_images\Brycon dentex (Detalle de la cabeza)(Pedro Jiménez Prado).JPG,Microglanis
test_images\Brycon dentex (Windsor Aguirre).jpg,Astroblepus
test_images\Brycon oligolepis (Jonathan Valdiviezo).JPG,Astroblepus
test_images\Brycon posidae (Fredy Nugra).JPG,Rineloricaria
test_images\Bryconamericus dahli (Pedro Jiménez Prado).JPG,Rhoadsia
test_images\Bryconamericus dahli 2 (Pedro Jiménez Prado).JPG,Astroblepus
test_images\Chaetostoma aequinoctiale (Windsor Aguirre).jpg,Astroblepus
test_images\Chaetostoma fischeri (Fredy Nugra).png,Astroblepus
test_images\Chaetostoma marginatum (Eduardo Rebolledo).JPG,Rhoadsia
test_images\Hoplias malabaricus (Windsor Aguirre).jpg,Astroblepus
test_images\Hyphessobrycon (Pedro Jiménez Prado).JPG,Astroblepus
test_images\Ichthyoelephas humeralis (Windsor Aguirre).jpg,Rineloricaria
test_images\Iotrabrycon praecox (Windsor Aguirre).jpg,Rineloricaria
test_images\Lebiasina aureoguttata (AntonioTorres y Enrique Laaz).jpg,Astroblepus
test_images\Lebiasina aureoguttata (Pedro Jiménez Prado).JPG,Astroblepus
test_images\Leporinus ecuadorensis (río San Pablo.Babahoyo. jun2013)(Ronald Navarrete).JPG,Astroblepus
test_images\Leporinus ecuadorensis. (Enrique Laaz).jpg,Astroblepus
test_images\Leporinus ecuadoriensis (Windsor Aguirre).jpg,Rineloricaria
test_images\Pimelodella modestus (Vista dorsal) Pedro Jiménez Prado).JPG,Rhoadsia
test_images\Pseudochalceus longianalis (Eduardo Rebolledo).JPG,Astroblepus
test_images\Pseudocurimata boehlkei (Nathan Lujan).jpg,Astroblepus
test_images\Pseudocurimata boulengeri (Enrique Laaz).jpg,Astroblepus
test_images\Pseudocurimata lineopunctata (Eduardo Rebolledo).JPG,Astroblepus
test_images\Pseudocurimata lineopunctata (Pedro Jiménez Prado).JPG,Rhoadsia
test_images\Pseudocurimata peruana (FMNH-97390)(Windsor Aguirre).jpg,Astroblepus
test_images\Pseudocurimata troscheli (Windsor Aguirre).jpg,Rineloricaria
test_images\Rhoadsia 2 minor (Windsro Aguirre).JPG,Rineloricaria
test_images\Rhoadsia altipinna (Windsor Aguirre).jpg,Rineloricaria
test_images\Rhoadsia minor (Windsro Aguirre).jpg,Rineloricaria
test_images\Roeboides occidentalis (Eduardo Rebolledo).JPG,Rineloricaria
test_images\Roeboides occidentalis (Pedro Jimènez Prado).JPG,Astroblepus
test_images\Saccodon terminalis (Windsor Aguirre).jpg,Rineloricaria
test_images\Saccodon wagneri (Fredy Nugra).jpg,Astroblepus
test_images\Saccodon wagneri (Windsor Aguirre).jpg,Astroblepus
test_images\Sacodon wagneri (Ronald Navarrete).JPG,Rineloricaria
test_images\Trichomycterus banneaui (FMNH-97422) (Windsor Aguirre).jpg,Astroblepus
test_images\Trichomycterus taenia (Fredy Nugra).JPG,Rhoadsia
